Населба,Квадратура,Соби,Спрат,Лифт,Греење,Паркинг,Цена (EUR)
31.0,93.0,4.0,1.0,1.0,-1.0,1.0,108000.0
34.0,82.0,3.0,2.0,1.0,1.0,1.0,100400.0
5.0,55.0,3.0,4.0,-1.0,1.0,-1.0,48000.0
5.0,195.0,5.0,4.0,-1.0,1.0,1.0,120000.0
30.0,98.0,4.0,8.0,1.0,-1.0,-1.0,62000.0
30.0,45.0,2.0,3.0,-1.0,-1.0,-1.0,31650.0
25.0,51.0,3.0,8.0,1.0,-1.0,-1.0,35700.0
10.0,78.0,3.0,1.0,1.0,1.0,-1.0,86700.0
10.0,72.0,3.0,1.0,1.0,1.0,-1.0,80000.0
10.0,56.0,0.0,7.0,1.0,1.0,-1.0,62300.0
10.0,52.0,2.0,1.0,1.0,1.0,-1.0,57800.0
10.0,34.0,0.0,1.0,1.0,1.0,-1.0,37800.0
5.0,62.0,3.0,2.0,1.0,-1.0,1.0,56000.0
2.0,90.0,0.0,15.0,1.0,-1.0,-1.0,71400.0
5.0,63.0,3.0,3.0,1.0,1.0,1.0,66150.0
4.0,139.0,4.0,2.0,-1.0,1.0,-1.0,90000.0
7.0,80.0,4.0,1.0,-1.0,1.0,1.0,102000.0
5.0,50.0,0.0,6.0,1.0,-1.0,-1.0,51000.0
5.0,83.0,4.0,1.0,-1.0,1.0,-1.0,75000.0
2.0,102.0,4.0,5.0,1.0,1.0,-1.0,95000.0
7.0,92.0,4.0,4.0,1.0,-1.0,1.0,90900.0
8.0,72.0,3.0,5.0,1.0,1.0,-1.0,74500.0
6.0,91.0,3.0,0.0,-1.0,1.0,-1.0,95000.0
34.0,81.0,3.0,1.0,1.0,1.0,1.0,93000.0
6.0,91.0,3.0,1.0,-1.0,1.0,-1.0,95000.0
2.0,54.0,3.0,5.0,-1.0,1.0,1.0,51000.0
21.0,118.0,4.0,1.0,1.0,-1.0,-1.0,118000.0
21.0,109.0,4.0,1.0,1.0,-1.0,-1.0,110000.0
8.0,87.0,3.0,3.0,1.0,1.0,-1.0,107000.0
30.0,63.0,3.0,5.0,1.0,1.0,-1.0,49000.0
5.0,73.0,3.0,3.0,1.0,1.0,-1.0,65000.0
