Населба,Квадратура,Соби,Спрат,Лифт,Греење,Паркинг,Цена (EUR)
2,81.0,3,4,0.0,1.0,1.0,70000.0
2,38.0,1,7,1.0,1.0,0.0,36000.0
8,85.0,3,4,0.0,1.0,1.0,61000.0
6,61.0,3,6,1.0,1.0,0.0,76250.0
5,101.0,4,3,1.0,1.0,1.0,100899.0
8,55.0,2,2,1.0,1.0,1.0,68750.0
5,61.0,3,4,0.0,1.0,1.0,47000.0
8,57.0,2,100,0.0,1.0,0.0,68500.0
5,51.0,2,1,1.0,1.0,1.0,51000.0
5,68.0,"3,5",3,1.0,1.0,0.0,70000.0
8,112.0,4,2,1.0,1.0,1.0,118720.0
8,60.0,3,2,1.0,1.0,0.0,84000.0
5,64.0,3,7,1.0,1.0,1.0,50500.0
6,95.0,4,9,1.0,1.0,1.0,115000.0
2,47.0,2,3,1.0,1.0,1.0,48000.0
5,43.0,2,2,1.0,1.0,1.0,49450.0
8,36.0,2,2,1.0,1.0,0.0,46000.0
2,80.0,3,13,1.0,1.0,1.0,62000.0
6,51.0,3,13,1.0,1.0,1.0,52000.0
5,49.0,2,4,1.0,1.0,1.0,54000.0
1,103.0,3,0,1.0,1.0,0.0,76117.0
6,57.0,"2,5",4,0.0,1.0,1.0,50000.0
2,156.0,4,0,0.0,1.0,1.0,90480.0
8,82.0,"3,5",2,1.0,1.0,1.0,102500.0
8,61.0,"3,5",0,1.0,1.0,0.0,70150.0
8,82.0,"2,5",0,1.0,1.0,1.0,94300.0
1,75.0,2,2,0.0,0.0,1.0,45000.0
10,83.0,4,1,1.0,1.0,1.0,71000.0
1,55.0,2,4,1.0,1.0,1.0,45000.0
2,106.0,4,4,1.0,1.0,0.0,90000.0
2,91.0,4,2,1.0,1.0,1.0,100000.0
5,83.0,3,2,1.0,1.0,1.0,78850.0
5,46.0,2,8,1.0,1.0,1.0,48300.0
5,49.0,2,6,1.0,1.0,1.0,52000.0
5,66.0,3,5,0.0,1.0,1.0,47000.0
6,50.0,2,4,0.0,1.0,1.0,50000.0
6,33.0,2,0,1.0,1.0,1.0,42000.0
6,59.0,2,2,0.0,1.0,1.0,50000.0
2,58.0,2,5,1.0,1.0,0.0,62500.0
8,91.0,2,2,0.0,1.0,1.0,95000.0
2,103.0,4,9,1.0,1.0,1.0,120000.0
8,105.0,4,100,1.0,1.0,1.0,131000.0
2,72.0,3,1,1.0,1.0,1.0,68000.0
2,48.0,2,5,1.0,1.0,1.0,51500.0
2,67.0,3,5,0.0,1.0,1.0,63000.0
6,62.0,3,5,1.0,1.0,1.0,62000.0
6,66.0,2,10,1.0,1.0,1.0,62000.0
8,65.0,2,3,0.0,1.0,1.0,76000.0
6,72.0,"2,5",4,0.0,1.0,1.0,64000.0
11,67.0,3,6,1.0,1.0,1.0,60000.0
5,75.0,3,3,0.0,1.0,1.0,65000.0
2,103.0,4,3,1.0,1.0,1.0,120000.0
5,51.0,"2,5",1,1.0,1.0,1.0,51000.0
2,48.0,2,3,0.0,1.0,0.0,49000.0
8,56.0,2,10,1.0,1.0,0.0,64400.0
6,61.0,3,6,1.0,1.0,0.0,76250.0
6,99.0,4,3,1.0,1.0,1.0,93000.0
6,58.0,1,2,1.0,0.0,0.0,45500.0
1,58.0,"1,5",4,1.0,0.0,1.0,49500.0
1,46.0,2,1,0.0,1.0,1.0,42000.0
8,104.0,5,1,0.0,1.0,0.0,120000.0
8,73.0,2,2,1.0,1.0,0.0,87600.0
5,133.0,5,3,1.0,1.0,1.0,121000.0
2,66.0,2,7,1.0,1.0,1.0,66000.0
2,38.0,1,9,1.0,1.0,1.0,49000.0
2,48.0,1,5,1.0,1.0,0.0,51500.0
5,51.0,2,6,1.0,1.0,1.0,49000.0
8,67.0,3,1,1.0,1.0,1.0,72360.0
36,92.0,4,12,1.0,1.0,1.0,70000.0
8,76.0,"2,5",3,0.0,1.0,1.0,85500.0
2,68.0,"4,5",2,1.0,1.0,1.0,70000.0
6,29.0,"1,5",2,1.0,1.0,1.0,36500.0
6,33.0,2,0,0.0,1.0,0.0,43000.0
8,77.0,3,2,1.0,1.0,1.0,96000.0
5,54.0,2,1,1.0,1.0,0.0,53500.0
5,49.0,2,4,1.0,1.0,1.0,59000.0
1,75.0,4,4,0.0,1.0,1.0,43500.0
8,115.0,4,2,1.0,1.0,0.0,115000.0
6,45.0,2,0,0.0,1.0,0.0,49500.0
6,51.0,2,3,0.0,1.0,1.0,40000.0
2,38.0,2,9,1.0,1.0,1.0,49000.0
6,57.0,3,5,0.0,1.0,1.0,42000.0
6,62.0,2,2,0.0,1.0,1.0,60000.0
8,90.0,3,9,1.0,1.0,1.0,108000.0
8,74.0,3,6,1.0,1.0,0.0,85100.0
2,46.0,2,1,0.0,1.0,0.0,52000.0
8,56.0,2,10,1.0,1.0,0.0,64400.0
8,38.0,"1,5",4,1.0,1.0,1.0,51300.0
30,67.0,"2,5",8,1.0,1.0,1.0,40000.0
8,72.0,2,3,0.0,1.0,1.0,65000.0
6,56.0,"3,5",13,1.0,1.0,1.0,52000.0
8,104.0,4,3,1.0,1.0,1.0,135200.0
8,68.0,3,2,1.0,1.0,0.0,78200.0
8,46.0,2,1,1.0,1.0,1.0,65000.0
2,50.0,1,7,1.0,1.0,0.0,57500.0
2,46.0,2,4,1.0,1.0,1.0,50600.0
5,35.0,2,6,1.0,1.0,1.0,40000.0
5,55.0,2,1,0.0,1.0,1.0,60000.0
5,71.0,3,0,1.0,1.0,1.0,63000.0
5,57.0,2,7,1.0,1.0,1.0,55000.0
5,69.0,3,2,1.0,1.0,1.0,56000.0
5,46.0,2,3,1.0,1.0,1.0,48300.0
6,61.0,3,3,1.0,1.0,1.0,82350.0
8,50.0,2,10,1.0,1.0,1.0,58000.0
8,51.0,2,2,1.0,1.0,1.0,57000.0
8,88.0,4,4,0.0,1.0,0.0,88000.0
5,75.0,4,3,0.0,1.0,1.0,65000.0
30,75.0,3,2,1.0,1.0,0.0,67500.0
8,71.0,3,6,1.0,1.0,1.0,76680.0
1,57.0,2,2,0.0,1.0,1.0,39000.0
8,80.0,3,6,1.0,1.0,1.0,80000.0
6,72.0,3,7,1.0,1.0,1.0,97200.0
5,25.0,3,100,1.0,0.0,0.0,25000.0
8,76.0,3,4,1.0,1.0,1.0,96520.0
8,44.0,2,3,0.0,1.0,0.0,51000.0
2,77.0,4,100,1.0,1.0,0.0,83930.0
2,42.0,2,4,1.0,1.0,0.0,48300.0
2,43.0,2,6,1.0,1.0,0.0,49450.0
2,38.0,2,2,1.0,1.0,0.0,43700.0
1,41.0,"2,5",3,0.0,1.0,1.0,9000.0
5,49.0,2,4,1.0,1.0,1.0,59000.0
5,68.0,4,1,0.0,1.0,1.0,64000.0
2,50.0,2,7,1.0,1.0,1.0,57500.0
8,102.0,3,5,1.0,1.0,1.0,110000.0
8,83.0,4,2,1.0,1.0,1.0,75000.0
8,56.0,2,2,0.0,1.0,1.0,57000.0
8,38.0,"1,5",4,1.0,1.0,1.0,51300.0
30,95.0,"3,5",4,0.0,1.0,1.0,50000.0
8,50.0,2,4,1.0,1.0,0.0,54000.0
5,37.0,2,100,0.0,1.0,0.0,35000.0
2,59.0,1,6,1.0,1.0,0.0,55000.0
2,45.0,1,5,1.0,1.0,0.0,45000.0
6,59.0,1,2,0.0,1.0,0.0,50000.0
8,47.0,2,3,0.0,1.0,0.0,51000.0
6,57.0,2,5,1.0,1.0,0.0,65550.0
8,68.0,3,3,0.0,1.0,0.0,78200.0
6,76.0,3,7,1.0,1.0,1.0,72000.0
8,67.0,3,0,1.0,1.0,1.0,72000.0
6,80.0,3,0,0.0,1.0,1.0,84000.0
2,270.0,6,1,1.0,1.0,1.0,240000.0
8,84.0,3,7,1.0,1.0,0.0,101000.0
8,50.0,2,6,1.0,1.0,0.0,62500.0
8,71.0,2,4,1.0,1.0,1.0,82000.0
8,60.0,3,2,1.0,1.0,0.0,84000.0
